,true_label,sentence,distibert_prediction
0,POSITIVE,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",POSITIVE
1,POSITIVE,Reading my kindle2...  Love it... Lee childs is good read.,POSITIVE
2,POSITIVE,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",POSITIVE
3,POSITIVE,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),POSITIVE
4,POSITIVE,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),POSITIVE
5,POSITIVE,@richardebaker no. it is too big. I'm quite happy with the Kindle2.,POSITIVE
6,NEGATIVE,Fuck this economy. I hate aig and their non loan given asses.,NEGATIVE
7,POSITIVE,Jquery is my new best friend.,POSITIVE
8,POSITIVE,Loves twitter,POSITIVE
9,POSITIVE,how can you not love Obama? he makes jokes about himself.,POSITIVE
11,NEGATIVE,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",NEGATIVE
12,POSITIVE,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",POSITIVE
13,POSITIVE,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,POSITIVE
14,NEGATIVE,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",NEGATIVE
15,POSITIVE,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",POSITIVE
16,NEGATIVE,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,POSITIVE
17,POSITIVE,i love lebron. http://bit.ly/PdHur,POSITIVE
18,NEGATIVE,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",POSITIVE
19,POSITIVE,@Pmillzz lebron IS THE BOSS,POSITIVE
20,POSITIVE,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",POSITIVE
21,POSITIVE,lebron and zydrunas are such an awesome duo,POSITIVE
22,POSITIVE,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,NEGATIVE
23,POSITIVE,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,NEGATIVE
